Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
12.587,-83.621,-83.636,-83.597,-83.511,-83.237,-83.453,-83.597,-83.530,-82.480,-83.286,-83.240,-83.737,-83.557,-83.496,-83.154,-83.047,-83.026,-83.096
12.687,-83.752,-83.582,-83.740,-83.353,-83.310,-83.322,-83.514,-83.670,-82.471,-83.243,-83.295,-83.746,-83.673,-83.554,-83.093,-83.099,-83.087,-83.096
12.787,-83.640,-83.490,-83.621,-83.350,-83.304,-83.243,-83.524,-83.716,-82.538,-83.301,-83.295,-83.792,-83.615,-83.450,-83.139,-83.145,-83.054,-83.051
12.887,-83.640,-83.676,-83.530,-83.408,-83.194,-83.466,-83.609,-83.597,-82.590,-83.206,-83.246,-83.749,-83.627,-83.661,-83.044,-83.017,-83.084,-83.105
12.987,-83.725,-83.545,-83.627,-83.350,-83.170,-83.490,-83.597,-83.493,-82.550,-83.359,-83.276,-83.658,-83.676,-83.615,-83.014,-83.078,-83.096,-83.112
13.087,-83.664,-83.508,-83.560,-83.316,-83.231,-83.377,-83.429,-83.722,-82.553,-83.267,-83.267,-83.722,-83.603,-83.499,-83.099,-83.167,-82.999,-83.060
13.187,-83.682,-83.664,-83.591,-83.401,-83.231,-83.322,-83.478,-83.701,-82.504,-83.371,-83.264,-83.688,-83.624,-83.539,-83.148,-83.102,-82.971,-83.008
13.287,-83.688,-83.643,-83.655,-83.292,-83.151,-83.438,-83.542,-83.600,-82.529,-83.264,-83.316,-83.768,-83.676,-83.530,-83.057,-83.087,-83.127,-83.145
13.387,-83.585,-83.533,-83.670,-83.218,-83.224,-83.429,-83.542,-83.743,-82.550,-83.316,-83.237,-83.780,-83.621,-83.444,-83.078,-83.157,-83.118,-83.075
13.487,-83.603,-83.749,-83.597,-83.426,-83.255,-83.237,-83.469,-83.554,-82.547,-83.365,-83.267,-83.722,-83.563,-83.524,-83.176,-83.136,-83.035,-83.084
13.586,-83.688,-83.643,-83.640,-83.466,-83.170,-83.304,-83.621,-83.691,-82.452,-83.267,-83.331,-83.722,-83.670,-83.569,-83.185,-83.084,-83.197,-83.142
